Run,Elapsed,Dev. from mean,
1,888.115800,7.222597,
2,886.054900,5.161697,
3,884.561600,3.668397,
4,878.484200,-2.409003,
5,880.582900,-0.310303,
6,877.341900,-3.551303,
7,879.732200,-1.161003,
8,878.362100,-2.531103,
9,887.482400,6.589197,
10,876.868900,-4.024303,
11,880.084400,-0.808803,
12,883.827000,2.933797,
13,878.782300,-2.110903,
14,880.649300,-0.243903,
15,880.262300,-0.630903,
16,880.565800,-0.327403,
17,881.000600,0.107397,
18,877.663100,-3.230103,
19,878.616700,-2.276503,
20,880.310600,-0.582603,
21,885.919000,5.025797,
22,882.026500,1.133297,
23,876.912400,-3.980803,
24,878.098900,-2.794303,
25,880.157100,-0.736103,
26,878.434400,-2.458803,
27,878.663400,-2.229803,
28,883.473800,2.580597,
29,884.028700,3.135497,
30,883.730900,2.837697,
31,883.522100,2.628897,
32,888.382100,7.488897,
33,881.173800,0.280597,
34,878.389800,-2.503403,
35,879.836600,-1.056603,
36,876.233300,-4.659903,
37,887.206800,6.313597,
38,876.862300,-4.030903,
39,882.762500,1.869297,
40,878.665000,-2.228203,
41,882.351400,1.458197,
42,878.669300,-2.223903,
43,879.156000,-1.737203,
44,880.007200,-0.886003,
45,881.669800,0.776597,
46,880.429200,-0.464003,
47,877.316700,-3.576503,
48,880.834700,-0.058503,
49,878.734800,-2.158403,
50,878.493300,-2.399903,
51,880.378100,-0.515103,
52,879.167500,-1.725703,
53,877.641300,-3.251903,
54,878.652000,-2.241203,
55,884.222000,3.328797,
56,879.926600,-0.966603,
57,877.178000,-3.715203,
58,880.830400,-0.062803,
59,880.187500,-0.705703,
60,889.990700,9.097497,
61,881.736800,0.843597,
62,885.948100,5.054897,
63,878.807800,-2.085403,
64,878.873500,-2.019703,
65,877.673000,-3.220203,
66,885.265800,4.372597,
67,883.732700,2.839497,
68,878.066500,-2.826703,
69,881.701500,0.808297,
70,880.131100,-0.762103,
71,880.396800,-0.496403,
72,879.984000,-0.909203,
73,879.770900,-1.122303,
74,878.430500,-2.462703,
75,880.601600,-0.291603,
76,885.383900,4.490697,
77,882.894100,2.000897,
78,881.404900,0.511697,
79,880.957600,0.064397,
80,882.658000,1.764797,
81,882.351300,1.458097,
82,886.031400,5.138197,
83,883.553700,2.660497,
84,878.504700,-2.388503,
85,877.488600,-3.404603,
86,881.637500,0.744297,
87,878.513500,-2.379703,
88,880.282900,-0.610303,
89,887.361500,6.468297,
90,880.983900,0.090697,
91,879.623600,-1.269603,
92,877.747100,-3.146103,
93,878.548600,-2.344603,
94,877.757700,-3.135503,
95,881.039600,0.146397,
96,879.974300,-0.918903,
97,881.847300,0.954097,
98,880.119700,-0.773503,
99,880.834500,-0.058703,
100,881.034900,0.141697,
