=============================================
 Benchmark Results: Sun Apr 17 19:52:13 2022
 Program: ../vm/benchmarks/circles_r.bin
 VM Mode: Register
 Decoding: Union

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1      876.246000       -2.622317
     2      877.035600       -1.832717
     3      878.838000       -0.030317
     4      876.886900       -1.981417
     5      878.971700        0.103383
     6      875.742500       -3.125817
     7      879.900800        1.032483
     8      881.206800        2.338483
     9      880.653000        1.784683
    10      875.416300       -3.452017
    11      874.997700       -3.870617
    12      879.179300        0.310983
    13      881.957100        3.088783
    14      881.434000        2.565683
    15      879.769400        0.901083
    16      878.067500       -0.800817
    17      878.671700       -0.196617
    18      881.288600        2.420283
    19      883.098100        4.229783
    20      880.593700        1.725383
    21      881.058500        2.190183
    22      881.726200        2.857883
    23      878.678900       -0.189417
    24      882.245800        3.377483
    25      879.975400        1.107083
    26      878.886100        0.017783
    27      877.268600       -1.599717
    28      878.386900       -0.481417
    29      881.910600        3.042283
    30      883.938200        5.069883
    31      882.836600        3.968283
    32      882.291300        3.422983
    33      880.981300        2.112983
    34      878.953100        0.084783
    35      879.604600        0.736283
    36      879.488500        0.620183
    37      879.091400        0.223083
    38      883.828300        4.959983
    39      875.079100       -3.789217
    40      879.065500        0.197183
    41      881.420700        2.552383
    42      876.920700       -1.947617
    43      884.731000        5.862683
    44      878.023200       -0.845117
    45      876.840000       -2.028317
    46      880.413100        1.544783
    47      879.022600        0.154283
    48      878.448700       -0.419617
    49      879.137500        0.269183
    50      880.810300        1.941983
    51      878.568600       -0.299717
    52      875.148200       -3.720117
    53      880.106200        1.237883
    54      876.865400       -2.002917
    55      878.805200       -0.063117
    56      877.089000       -1.779317
    57      876.492800       -2.375517
    58      877.466600       -1.401717
    59      876.562600       -2.305717
    60      877.657600       -1.210717
    61      876.855200       -2.013117
    62      875.240600       -3.627717
    63      876.795700       -2.072617
    64      882.219500        3.351183
    65      876.833700       -2.034617
    66      879.996700        1.128383
    67      880.607000        1.738683
    68      876.807000       -2.061317
    69      881.096900        2.228583
    70      878.269600       -0.598717
    71      876.663100       -2.205217
    72      875.657900       -3.210417
    73      875.784000       -3.084317
    74      877.336200       -1.532117
    75      879.917400        1.049083
    76      879.897300        1.028983
    77      877.425000       -1.443317
    78      878.888700        0.020383
    79      875.201600       -3.666717
    80      876.614100       -2.254217
    81      877.523400       -1.344917
    82      875.721500       -3.146817
    83      877.535500       -1.332817
    84      875.038300       -3.830017
    85      878.074900       -0.793417
    86      876.945800       -1.922517
    87      884.229300        5.360983
    88      877.034600       -1.833717
    89      878.250300       -0.618017
    90      878.123900       -0.744417
    91      878.748900       -0.119417
    92      880.644100        1.775783
    93      876.936900       -1.931417
    94      880.622000        1.753683
    95      878.498400       -0.369917
    96      878.841900       -0.026417
    97      877.610000       -1.258317
    98      878.528800       -0.339517
    99      885.183500        6.315183
   100      878.852900       -0.015417
---------------------------------------------

  Mean run time:      878.868317 ms.
  Standard deviation: 2.359218.
=============================================
