Run,Elapsed,Dev. from mean,
1,788.800200,6.620821,
2,784.343400,2.164021,
3,784.847200,2.667821,
4,784.777300,2.597921,
5,779.933200,-2.246179,
6,781.225200,-0.954179,
7,778.549300,-3.630079,
8,782.483100,0.303721,
9,781.054300,-1.125079,
10,785.337700,3.158321,
11,780.446600,-1.732779,
12,789.073400,6.894021,
13,785.272700,3.093321,
14,784.002500,1.823121,
15,780.324300,-1.855079,
16,780.478000,-1.701379,
17,781.897100,-0.282279,
18,780.104600,-2.074779,
19,782.586200,0.406821,
20,782.565300,0.385921,
21,780.777300,-1.402079,
22,780.623000,-1.556379,
23,782.243400,0.064021,
24,784.440600,2.261221,
25,791.015800,8.836421,
26,782.808200,0.628821,
27,782.089500,-0.089879,
28,780.058600,-2.120779,
29,780.628500,-1.550879,
30,778.856700,-3.322679,
31,781.206100,-0.973279,
32,779.018500,-3.160879,
33,786.157200,3.977821,
34,782.436200,0.256821,
35,780.654800,-1.524579,
36,784.489000,2.309621,
37,779.061600,-3.117779,
38,788.288000,6.108621,
39,780.813900,-1.365479,
40,780.342800,-1.836579,
41,780.376000,-1.803379,
42,780.912200,-1.267179,
43,784.906900,2.727521,
44,781.721500,-0.457879,
45,780.180300,-1.999079,
46,782.388400,0.209021,
47,781.369900,-0.809479,
48,781.350300,-0.829079,
49,784.918300,2.738921,
50,780.794700,-1.384679,
51,786.723400,4.544021,
52,780.246600,-1.932779,
53,778.643300,-3.536079,
54,782.472000,0.292621,
55,778.662200,-3.517179,
56,781.964000,-0.215379,
57,778.551000,-3.628379,
58,783.383200,1.203821,
59,781.777500,-0.401879,
60,781.553800,-0.625579,
61,782.439500,0.260121,
62,780.777500,-1.401879,
63,789.341300,7.161921,
64,788.301500,6.122121,
65,782.696100,0.516721,
66,781.162600,-1.016779,
67,781.588300,-0.591079,
68,779.957700,-2.221679,
69,778.718700,-3.460679,
70,782.342000,0.162621,
71,782.776700,0.597321,
72,780.864800,-1.314579,
73,780.829500,-1.349879,
74,784.955600,2.776221,
75,785.066500,2.887121,
76,785.174800,2.995421,
77,783.029000,0.849621,
78,778.407800,-3.771579,
79,782.225200,0.045821,
80,778.150400,-4.028979,
81,781.097000,-1.082379,
82,780.284400,-1.894979,
83,780.481800,-1.697579,
84,784.179000,1.999621,
85,778.513800,-3.665579,
86,780.482500,-1.696879,
87,781.019900,-1.159479,
88,783.163900,0.984521,
89,783.158700,0.979321,
90,782.420700,0.241321,
91,782.194900,0.015521,
92,780.398000,-1.781379,
93,782.112700,-0.066679,
94,780.616400,-1.562979,
95,781.855700,-0.323679,
96,784.163000,1.983621,
97,782.445300,0.265921,
98,780.717600,-1.461779,
99,781.923500,-0.255879,
100,780.896800,-1.282579,
