=============================================
 Benchmark Results: Mon Apr 18 19:22:21 2022
 Program: ..\vm\benchmarks\circles_s.bin
 VM Mode: Stack
 Decoding: Union

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1     1183.354900       -2.969099
     2     1183.738300       -2.585699
     3     1182.195400       -4.128599
     4     1182.245400       -4.078599
     5     1183.384800       -2.939199
     6     1183.221400       -3.102599
     7     1183.780100       -2.543899
     8     1185.078900       -1.245099
     9     1182.802700       -3.521299
    10     1183.190700       -3.133299
    11     1185.119200       -1.204799
    12     1185.376600       -0.947399
    13     1184.958400       -1.365599
    14     1185.559900       -0.764099
    15     1184.774600       -1.549399
    16     1185.687500       -0.636499
    17     1185.075000       -1.248999
    18     1185.173400       -1.150599
    19     1185.730500       -0.593500
    20     1185.533000       -0.790999
    21     1185.652900       -0.671099
    22     1186.032900       -0.291099
    23     1186.303300       -0.020699
    24     1186.342900        0.018901
    25     1185.561800       -0.762199
    26     1185.978000       -0.345999
    27     1188.060200        1.736200
    28     1186.470800        0.146801
    29     1186.060500       -0.263499
    30     1185.695200       -0.628799
    31     1188.476900        2.152900
    32     1186.271800       -0.052199
    33     1185.870300       -0.453699
    34     1185.173300       -1.150699
    35     1185.320400       -1.003599
    36     1192.002400        5.678401
    37     1184.978700       -1.345300
    38     1186.242000       -0.081999
    39     1186.144200       -0.179799
    40     1185.892800       -0.431199
    41     1187.831200        1.507201
    42     1185.065800       -1.258199
    43     1185.144000       -1.179999
    44     1184.772100       -1.551899
    45     1186.615300        0.291301
    46     1185.655800       -0.668199
    47     1185.700400       -0.623599
    48     1186.469600        0.145601
    49     1185.862300       -0.461699
    50     1188.025800        1.701800
    51     1185.557200       -0.766799
    52     1186.346000        0.022001
    53     1186.507000        0.183001
    54     1185.501200       -0.822799
    55     1185.711800       -0.612199
    56     1186.148000       -0.175999
    57     1185.964200       -0.359800
    58     1185.297000       -1.026999
    59     1186.178400       -0.145599
    60     1185.680000       -0.643999
    61     1185.524000       -0.800000
    62     1186.014000       -0.310000
    63     1185.807400       -0.516599
    64     1184.928300       -1.395699
    65     1185.232700       -1.091299
    66     1185.302600       -1.021399
    67     1184.902600       -1.421400
    68     1184.797900       -1.526099
    69     1184.963200       -1.360799
    70     1185.844400       -0.479599
    71     1186.093300       -0.230699
    72     1185.505600       -0.818399
    73     1188.210600        1.886601
    74     1186.217100       -0.106899
    75     1186.098100       -0.225899
    76     1185.455100       -0.868899
    77     1186.115200       -0.208799
    78     1187.693700        1.369701
    79     1186.146000       -0.177999
    80     1187.702100        1.378101
    81     1185.878000       -0.445999
    82     1187.596600        1.272601
    83     1185.105700       -1.218299
    84     1185.878500       -0.445499
    85     1185.771200       -0.552799
    86     1185.533200       -0.790799
    87     1186.141400       -0.182599
    88     1185.708900       -0.615099
    89     1185.685600       -0.638399
    90     1186.331100        0.007101
    91     1185.961700       -0.362299
    92     1185.524800       -0.799199
    93     1185.507900       -0.816099
    94     1186.111400       -0.212599
    95     1193.715900        7.391901
    96     1185.556800       -0.767199
    97     1185.199000       -1.124999
    98     1185.098500       -1.225499
    99     1184.973900       -1.350099
   100     1185.500300       -0.823699
   101     1185.874100       -0.449899
   102     1186.696200        0.372201
   103     1186.105400       -0.218599
   104     1189.570700        3.246701
   105     1185.404500       -0.919499
   106     1186.035100       -0.288899
   107     1185.398800       -0.925199
   108     1184.565000       -1.758999
   109     1185.469300       -0.854699
   110     1185.395700       -0.928299
   111     1186.109000       -0.214999
   112     1186.936900        0.612901
   113     1187.948500        1.624501
   114     1185.701800       -0.622199
   115     1185.483300       -0.840699
   116     1184.981600       -1.342399
   117     1185.223000       -1.100999
   118     1185.285500       -1.038499
   119     1185.023800       -1.300199
   120     1186.077000       -0.246999
   121     1188.788000        2.464001
   122     1185.709000       -0.614999
   123     1186.060400       -0.263599
   124     1186.378200        0.054201
   125     1190.251200        3.927201
   126     1198.441100       12.117101
   127     1192.746400        6.422401
   128     1186.132100       -0.191899
   129     1189.516600        3.192601
   130     1185.817700       -0.506299
   131     1185.712900       -0.611099
   132     1186.446900        0.122901
   133     1186.105100       -0.218899
   134     1185.526400       -0.797599
   135     1185.688600       -0.635399
   136     1185.813900       -0.510099
   137     1185.583800       -0.740199
   138     1189.002000        2.678001
   139     1185.316200       -1.007799
   140     1186.278000       -0.045999
   141     1186.069500       -0.254499
   142     1185.842300       -0.481699
   143     1185.686900       -0.637099
   144     1185.109900       -1.214099
   145     1204.012400       17.688401
   146     1193.749800        7.425801
   147     1185.269900       -1.054099
   148     1185.122200       -1.201799
   149     1185.832500       -0.491499
   150     1185.183700       -1.140299
   151     1186.514700        0.190701
   152     1184.952300       -1.371699
   153     1201.609300       15.285301
   154     1204.133400       17.809401
   155     1188.382700        2.058701
   156     1185.276600       -1.047399
   157     1185.913500       -0.410499
   158     1186.764900        0.440900
   159     1185.624100       -0.699899
   160     1185.318600       -1.005399
   161     1186.021000       -0.302999
   162     1185.518400       -0.805599
   163     1187.668600        1.344601
   164     1186.313600       -0.010399
   165     1185.982000       -0.341999
   166     1186.088400       -0.235599
   167     1185.219600       -1.104399
   168     1185.585500       -0.738499
   169     1185.856200       -0.467799
   170     1185.700100       -0.623899
   171     1185.822300       -0.501699
   172     1186.275000       -0.048999
   173     1185.920900       -0.403099
   174     1185.446000       -0.877999
   175     1186.237500       -0.086499
   176     1185.787900       -0.536099
   177     1185.490500       -0.833499
   178     1185.792400       -0.531599
   179     1186.531500        0.207501
   180     1187.154500        0.830501
   181     1185.698600       -0.625399
   182     1185.511000       -0.812999
   183     1188.392300        2.068301
   184     1185.470900       -0.853099
   185     1184.638400       -1.685599
   186     1185.150100       -1.173899
   187     1185.444500       -0.879499
   188     1185.432900       -0.891099
   189     1188.537600        2.213601
   190     1185.564800       -0.759199
   191     1185.308000       -1.015999
   192     1185.522800       -0.801199
   193     1185.423900       -0.900099
   194     1185.821500       -0.502499
   195     1185.888400       -0.435599
   196     1188.622800        2.298801
   197     1187.368200        1.044200
   198     1185.909000       -0.414999
   199     1186.186000       -0.137999
   200     1185.648000       -0.675999
---------------------------------------------

  Mean run time:      1186.323999 ms.
  Standard deviation: 2.732948.
=============================================
