Run,Elapsed,Dev. from mean,
1,792.967500,0.476735,
2,791.652000,-0.838765,
3,791.380800,-1.109965,
4,791.550400,-0.940365,
5,794.028100,1.537335,
6,792.715600,0.224835,
7,792.998800,0.508035,
8,791.774400,-0.716365,
9,793.015800,0.525035,
10,791.762300,-0.728465,
11,792.217100,-0.273665,
12,792.717800,0.227035,
13,793.092700,0.601935,
14,792.148900,-0.341865,
15,792.022300,-0.468465,
16,792.287900,-0.202865,
17,792.140400,-0.350365,
18,795.444200,2.953435,
19,791.680900,-0.809865,
20,791.321800,-1.168965,
21,792.014600,-0.476165,
22,791.724600,-0.766165,
23,794.629100,2.138335,
24,791.554000,-0.936765,
25,792.693200,0.202435,
26,792.337400,-0.153365,
27,791.952300,-0.538465,
28,792.100400,-0.390365,
29,792.181800,-0.308965,
30,791.488600,-1.002165,
31,795.931500,3.440735,
32,791.732400,-0.758365,
33,791.769400,-0.721365,
34,791.719900,-0.770865,
35,791.747100,-0.743665,
36,791.872800,-0.617965,
37,792.151300,-0.339465,
38,792.110500,-0.380265,
39,792.255700,-0.235065,
40,791.883000,-0.607765,
41,792.533100,0.042335,
42,791.805300,-0.685465,
43,793.227600,0.736835,
44,792.161100,-0.329665,
45,792.848300,0.357535,
46,792.281700,-0.209065,
47,792.342500,-0.148265,
48,791.365100,-1.125665,
49,792.117500,-0.373265,
50,792.283400,-0.207365,
51,792.548400,0.057635,
52,792.392000,-0.098765,
53,791.989700,-0.501065,
54,791.955900,-0.534865,
55,792.214800,-0.275965,
56,795.759900,3.269135,
57,791.896400,-0.594365,
58,791.785200,-0.705565,
59,791.759100,-0.731665,
60,792.901600,0.410835,
61,792.119200,-0.371565,
62,791.708300,-0.782465,
63,792.029700,-0.461065,
64,791.460200,-1.030565,
65,792.050900,-0.439865,
66,791.915100,-0.575665,
67,792.115000,-0.375765,
68,792.199700,-0.291065,
69,796.280200,3.789435,
70,792.143500,-0.347265,
71,792.334600,-0.156165,
72,791.858300,-0.632465,
73,791.913000,-0.577765,
74,791.997600,-0.493165,
75,792.154400,-0.336365,
76,791.992100,-0.498665,
77,792.271800,-0.218965,
78,791.663800,-0.826965,
79,791.661300,-0.829465,
80,791.875900,-0.614865,
81,793.943500,1.452735,
82,793.820900,1.330135,
83,792.820100,0.329335,
84,792.152500,-0.338265,
85,792.121500,-0.369265,
86,794.758400,2.267635,
87,791.890200,-0.600565,
88,792.123100,-0.367665,
89,793.045100,0.554335,
90,791.878800,-0.611965,
91,791.832400,-0.658365,
92,791.791700,-0.699065,
93,791.476200,-1.014565,
94,794.770100,2.279335,
95,791.506000,-0.984765,
96,792.250200,-0.240565,
97,791.702800,-0.787965,
98,792.259000,-0.231765,
99,792.079300,-0.411465,
100,792.182600,-0.308165,
101,792.999000,0.508235,
102,792.157000,-0.333765,
103,791.838600,-0.652165,
104,791.994600,-0.496165,
105,792.524700,0.033935,
106,792.289100,-0.201665,
107,794.531800,2.041035,
108,792.204200,-0.286565,
109,791.804700,-0.686065,
110,792.005900,-0.484865,
111,791.867500,-0.623265,
112,792.235200,-0.255565,
113,792.044500,-0.446265,
114,792.125600,-0.365165,
115,791.932200,-0.558565,
116,791.861500,-0.629265,
117,792.811900,0.321135,
118,791.987600,-0.503165,
119,791.644300,-0.846465,
120,793.380700,0.889935,
121,792.374000,-0.116765,
122,792.372400,-0.118365,
123,791.622100,-0.868665,
124,792.341200,-0.149565,
125,791.437100,-1.053665,
126,792.566000,0.075235,
127,792.057400,-0.433365,
128,791.648800,-0.841965,
129,791.649200,-0.841565,
130,792.354400,-0.136365,
131,791.428800,-1.061965,
132,796.135100,3.644335,
133,792.028500,-0.462265,
134,792.969000,0.478235,
135,792.232600,-0.258165,
136,792.195600,-0.295165,
137,792.070000,-0.420765,
138,792.086700,-0.404065,
139,792.264500,-0.226265,
140,792.013500,-0.477265,
141,794.932000,2.441235,
142,792.438500,-0.052265,
143,792.197700,-0.293065,
144,791.986300,-0.504465,
145,794.888200,2.397435,
146,791.073200,-1.417565,
147,791.799500,-0.691265,
148,791.518200,-0.972565,
149,791.969000,-0.521765,
150,791.999500,-0.491265,
151,792.032800,-0.457965,
152,793.032100,0.541335,
153,791.993500,-0.497265,
154,791.995000,-0.495765,
155,791.297600,-1.193165,
156,792.307300,-0.183465,
157,792.017600,-0.473165,
158,795.820800,3.330035,
159,792.922700,0.431935,
160,792.353300,-0.137465,
161,791.940900,-0.549865,
162,792.480300,-0.010465,
163,791.703800,-0.786965,
164,792.517000,0.026235,
165,792.816100,0.325335,
166,793.002800,0.512035,
167,791.875500,-0.615265,
168,792.222600,-0.268165,
169,792.201800,-0.288965,
170,795.440100,2.949335,
171,791.979600,-0.511165,
172,792.744100,0.253335,
173,792.045400,-0.445365,
174,793.360300,0.869535,
175,792.687500,0.196735,
176,793.113100,0.622335,
177,793.465500,0.974735,
178,792.622100,0.131335,
179,792.614800,0.124035,
180,792.785300,0.294535,
181,792.437500,-0.053265,
182,792.370400,-0.120365,
183,796.371100,3.880335,
184,793.058400,0.567635,
185,793.246500,0.755735,
186,792.621800,0.131035,
187,793.136700,0.645935,
188,792.943500,0.452735,
189,792.808300,0.317535,
190,792.494300,0.003535,
191,792.673900,0.183135,
192,792.815000,0.324235,
193,792.697900,0.207135,
194,792.857200,0.366435,
195,793.352100,0.861335,
196,796.070100,3.579335,
197,793.232900,0.742135,
198,793.507300,1.016535,
199,792.950800,0.460035,
200,793.139600,0.648835,
