=============================================
 Benchmark Results: Sun Apr 17 20:05:25 2022
 Program: ../vm/benchmarks/circles_r.bin
 VM Mode: Register
 Decoding: Bitmask

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1      978.149000        3.661619
     2      971.184500       -3.302881
     3      973.452800       -1.034581
     4      976.722700        2.235319
     5      969.342000       -5.145381
     6      971.530100       -2.957281
     7      969.099300       -5.388081
     8      975.102100        0.614719
     9      978.677200        4.189819
    10      977.529200        3.041819
    11      972.944500       -1.542881
    12      973.360900       -1.126481
    13      976.938100        2.450719
    14      975.986900        1.499519
    15      975.395000        0.907619
    16      973.305600       -1.181781
    17      981.877200        7.389819
    18      975.528400        1.041019
    19      976.724800        2.237419
    20      974.839000        0.351619
    21      973.411200       -1.076181
    22      973.247500       -1.239881
    23      973.979800       -0.507581
    24      971.309400       -3.177981
    25      971.394800       -3.092581
    26      971.788600       -2.698781
    27      975.991800        1.504419
    28      971.787900       -2.699481
    29      973.962600       -0.524781
    30      976.047600        1.560219
    31      975.097300        0.609919
    32      973.449800       -1.037581
    33      973.268900       -1.218481
    34      977.440600        2.953219
    35      976.674400        2.187019
    36      973.654100       -0.833281
    37      973.891400       -0.595981
    38      976.222900        1.735519
    39      975.081100        0.593719
    40      979.106300        4.618919
    41      975.685100        1.197719
    42      978.189700        3.702319
    43      973.387500       -1.099881
    44      972.991100       -1.496281
    45      976.938900        2.451519
    46      973.537900       -0.949481
    47      973.719000       -0.768381
    48      973.535200       -0.952181
    49      973.465600       -1.021781
    50      974.149400       -0.337981
    51      978.586400        4.099019
    52      971.473900       -3.013481
    53      973.304900       -1.182481
    54      969.540700       -4.946681
    55      969.337100       -5.150281
    56      975.399300        0.911919
    57      970.637000       -3.850381
    58      976.113000        1.625619
    59      971.110900       -3.376481
    60      971.385000       -3.102381
    61      978.338400        3.851019
    62      969.617200       -4.870181
    63      973.224900       -1.262481
    64      970.923100       -3.564281
    65      971.149800       -3.337581
    66      973.745200       -0.742181
    67      971.799800       -2.687581
    68      972.631700       -1.855681
    69      974.564200        0.076819
    70      971.966500       -2.520881
    71      973.465300       -1.022081
    72      969.003200       -5.484181
    73      971.213500       -3.273881
    74      972.915700       -1.571681
    75      972.635200       -1.852181
    76      974.935000        0.447619
    77      971.403400       -3.083981
    78      975.635200        1.147819
    79      973.771300       -0.716081
    80      974.954200        0.466819
    81      974.955800        0.468419
    82      975.270700        0.783319
    83      969.898800       -4.588581
    84      982.068700        7.581319
    85      977.073000        2.585619
    86      972.978300       -1.509081
    87      972.339700       -2.147681
    88      976.052400        1.565019
    89      980.581400        6.094019
    90      973.121300       -1.366081
    91      971.076800       -3.410581
    92      981.707000        7.219619
    93      990.538600       16.051219
    94      987.175600       12.688219
    95      973.427800       -1.059581
    96      976.615100        2.127719
    97      972.992600       -1.494781
    98      975.396000        0.908619
    99      977.160500        2.673119
   100      973.430300       -1.057081
---------------------------------------------

  Mean run time:      974.487381 ms.
  Standard deviation: 3.484003.
=============================================
