Run,Elapsed,Dev. from mean,
1,987.732100,-2.838428,
2,987.852900,-2.717628,
3,987.526700,-3.043828,
4,989.738900,-0.831628,
5,992.028800,1.458272,
6,988.808500,-1.762028,
7,988.146400,-2.424128,
8,988.373200,-2.197328,
9,988.608400,-1.962128,
10,995.953600,5.383072,
11,988.030500,-2.540028,
12,988.872000,-1.698528,
13,991.607200,1.036672,
14,988.504800,-2.065728,
15,988.557800,-2.012728,
16,991.812700,1.242172,
17,987.639300,-2.931228,
18,987.331700,-3.238828,
19,988.810300,-1.760228,
20,988.297100,-2.273428,
21,987.898400,-2.672128,
22,987.730900,-2.839628,
23,987.821500,-2.749028,
24,988.180500,-2.390028,
25,987.823600,-2.746928,
26,991.912000,1.341472,
27,991.038600,0.468072,
28,992.751200,2.180672,
29,989.234900,-1.335628,
30,991.303200,0.732672,
31,988.862400,-1.708128,
32,988.273000,-2.297528,
33,988.176900,-2.393628,
34,987.854100,-2.716428,
35,988.422100,-2.148428,
36,991.555600,0.985072,
37,988.158800,-2.411728,
38,987.749200,-2.821328,
39,987.745600,-2.824928,
40,988.404600,-2.165928,
41,987.974200,-2.596328,
42,987.516400,-3.054128,
43,987.949600,-2.620928,
44,987.667400,-2.903128,
45,988.989300,-1.581228,
46,993.539200,2.968672,
47,990.825300,0.254772,
48,990.674900,0.104372,
49,990.422600,-0.147928,
50,990.352100,-0.218428,
51,989.664600,-0.905928,
52,989.551600,-1.018928,
53,989.820600,-0.749928,
54,989.970000,-0.600528,
55,990.139400,-0.431128,
56,993.303100,2.732572,
57,991.047100,0.476572,
58,990.569200,-0.001328,
59,991.211900,0.641372,
60,990.684500,0.113972,
61,990.377500,-0.193028,
62,990.607200,0.036672,
63,992.980200,2.409672,
64,990.197300,-0.373228,
65,993.297700,2.727172,
66,1001.562000,10.991472,
67,992.051300,1.480772,
68,990.095800,-0.474728,
69,990.673500,0.102972,
70,991.198600,0.628072,
71,989.992300,-0.578228,
72,989.947700,-0.622828,
73,989.945800,-0.624728,
74,989.911600,-0.658928,
75,990.243500,-0.327028,
76,991.408500,0.837972,
77,993.503400,2.932872,
78,990.479100,-0.091428,
79,990.390700,-0.179828,
80,989.827500,-0.743028,
81,989.695700,-0.874828,
82,989.700200,-0.870328,
83,990.101800,-0.468728,
84,990.289800,-0.280728,
85,990.568600,-0.001928,
86,990.270800,-0.299728,
87,993.449900,2.879372,
88,990.831400,0.260872,
89,990.610200,0.039672,
90,990.740300,0.169772,
91,991.960100,1.389572,
92,990.528300,-0.042228,
93,990.733700,0.163172,
94,990.998600,0.428072,
95,990.194700,-0.375828,
96,990.618100,0.047572,
97,993.412000,2.841472,
98,990.841600,0.271072,
99,989.646300,-0.924228,
100,990.018200,-0.552328,
101,989.967100,-0.603428,
102,989.981100,-0.589428,
103,990.381400,-0.189128,
104,990.319800,-0.250728,
105,990.251900,-0.318628,
106,990.298100,-0.272428,
107,993.149700,2.579172,
108,990.535100,-0.035428,
109,990.435800,-0.134728,
110,990.506600,-0.063928,
111,990.420500,-0.150028,
112,990.612900,0.042372,
113,990.990200,0.419672,
114,990.435900,-0.134628,
115,990.411400,-0.159128,
116,993.279300,2.708772,
117,993.314500,2.743972,
118,990.787500,0.216972,
119,990.342600,-0.227928,
120,990.124900,-0.445628,
121,990.126400,-0.444128,
122,989.838000,-0.732528,
123,990.522000,-0.048528,
124,990.421000,-0.149528,
125,990.862200,0.291672,
126,991.542100,0.971572,
127,993.340800,2.770272,
128,990.687000,0.116472,
129,990.333400,-0.237128,
130,990.683800,0.113272,
131,990.581100,0.010572,
132,990.542000,-0.028528,
133,990.832400,0.261872,
134,990.568800,-0.001728,
135,990.471100,-0.099428,
136,990.650500,0.079972,
137,992.459800,1.889272,
138,991.764100,1.193572,
139,994.563000,3.992472,
140,1003.027000,12.456472,
141,999.322700,8.752172,
142,990.738800,0.168272,
143,991.063800,0.493272,
144,990.984500,0.413972,
145,990.365400,-0.205128,
146,990.823500,0.252972,
147,990.537100,-0.033428,
148,993.144900,2.574372,
149,990.085000,-0.485528,
150,990.240300,-0.330228,
151,997.196000,6.625472,
152,991.123400,0.552872,
153,990.554900,-0.015628,
154,990.884800,0.314272,
155,990.506800,-0.063728,
156,990.408500,-0.162028,
157,990.577800,0.007272,
158,991.734500,1.163972,
159,991.271400,0.700872,
160,990.620500,0.049972,
161,990.246900,-0.323628,
162,990.697900,0.127372,
163,990.545100,-0.025428,
164,991.016400,0.445872,
165,990.872800,0.302272,
166,990.303300,-0.267228,
167,989.892600,-0.677928,
168,990.415500,-0.155028,
169,990.164400,-0.406128,
170,989.952600,-0.617928,
171,989.739200,-0.831328,
172,990.705100,0.134572,
173,990.752400,0.181872,
174,990.423800,-0.146728,
175,990.733800,0.163272,
176,990.061800,-0.508728,
177,990.521400,-0.049128,
178,992.419200,1.848672,
179,989.805100,-0.765428,
180,990.502900,-0.067628,
181,990.699700,0.129172,
182,990.494300,-0.076228,
183,990.283000,-0.287528,
184,990.457300,-0.113228,
185,991.250100,0.679572,
186,991.235300,0.664772,
187,991.019700,0.449172,
188,990.895300,0.324772,
189,990.702400,0.131872,
190,990.457300,-0.113228,
191,990.230000,-0.340528,
192,990.371200,-0.199328,
193,990.833400,0.262872,
194,990.655500,0.084972,
195,990.329900,-0.240628,
196,990.209800,-0.360728,
197,990.265900,-0.304628,
198,990.987100,0.416572,
199,989.692800,-0.877728,
200,989.811600,-0.758928,
