Run,Elapsed,Dev. from mean,
1,1176.021400,7.067726,
2,1165.382800,-3.570874,
3,1167.261000,-1.692674,
4,1163.832400,-5.121274,
5,1171.816600,2.862926,
6,1169.107100,0.153426,
7,1173.545900,4.592226,
8,1172.404200,3.450526,
9,1169.305700,0.352026,
10,1174.324600,5.370926,
11,1172.388000,3.434326,
12,1169.925000,0.971326,
13,1169.944800,0.991126,
14,1167.943900,-1.009774,
15,1169.691100,0.737426,
16,1169.348700,0.395026,
17,1170.621000,1.667326,
18,1169.290700,0.337026,
19,1167.273000,-1.680674,
20,1165.230600,-3.723074,
21,1174.400800,5.447126,
22,1178.103400,9.149726,
23,1171.900800,2.947126,
24,1170.996400,2.042726,
25,1167.235300,-1.718374,
26,1168.140900,-0.812774,
27,1166.754600,-2.199074,
28,1168.364100,-0.589574,
29,1166.590500,-2.363174,
30,1167.860200,-1.093474,
31,1169.653500,0.699826,
32,1167.036900,-1.916774,
33,1170.103100,1.149426,
34,1165.975700,-2.977974,
35,1168.810000,-0.143674,
36,1166.534200,-2.419474,
37,1169.263900,0.310226,
38,1164.974700,-3.978974,
39,1167.607500,-1.346174,
40,1171.735700,2.782026,
41,1170.831600,1.877926,
42,1167.773900,-1.179774,
43,1167.960900,-0.992774,
44,1165.734200,-3.219474,
45,1166.494000,-2.459674,
46,1169.402500,0.448826,
47,1173.764500,4.810826,
48,1169.755900,0.802226,
49,1171.920300,2.966626,
50,1168.696000,-0.257674,
51,1166.810500,-2.143174,
52,1172.780200,3.826526,
53,1169.499000,0.545326,
54,1165.927400,-3.026274,
55,1166.710500,-2.243174,
56,1170.741400,1.787726,
57,1171.635200,2.681526,
58,1167.624500,-1.329174,
59,1169.156800,0.203126,
60,1169.352300,0.398626,
61,1167.381000,-1.572674,
62,1165.397200,-3.556474,
63,1164.706600,-4.247074,
64,1172.214300,3.260626,
65,1171.194300,2.240626,
66,1165.741800,-3.211874,
67,1171.340300,2.386626,
68,1164.819200,-4.134474,
69,1165.635000,-3.318674,
70,1166.798700,-2.154974,
71,1167.243300,-1.710374,
72,1168.099300,-0.854374,
73,1172.523600,3.569926,
74,1175.178600,6.224926,
75,1172.048600,3.094926,
76,1168.360600,-0.593074,
77,1166.044500,-2.909174,
78,1167.992900,-0.960774,
79,1167.526700,-1.426974,
80,1168.119800,-0.833874,
81,1166.473700,-2.479974,
82,1170.063000,1.109326,
83,1164.319100,-4.634574,
84,1166.547900,-2.405774,
85,1168.859800,-0.093874,
86,1169.754800,0.801126,
87,1171.002600,2.048926,
88,1167.681800,-1.271874,
89,1166.416100,-2.537574,
90,1166.614000,-2.339674,
91,1168.415200,-0.538474,
92,1164.702200,-4.251474,
93,1167.459900,-1.493774,
94,1168.033200,-0.920474,
95,1169.749700,0.796026,
96,1168.702200,-0.251474,
97,1167.658900,-1.294774,
98,1169.961300,1.007626,
99,1170.844300,1.890626,
100,1174.469100,5.515426,
