=============================================
 Benchmark Results: Mon Apr 18 19:11:21 2022
 Program: ..\vm\benchmarks\circles_s.bin
 VM Mode: Stack
 Decoding: Bitmask

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1     1180.899800       -1.339265
     2     1180.380700       -1.858365
     3     1181.319700       -0.919365
     4     1182.128400       -0.110664
     5     1183.201400        0.962335
     6     1181.334300       -0.904765
     7     1182.324800        0.085736
     8     1181.272400       -0.966664
     9     1182.224500       -0.014565
    10     1182.178000       -0.061064
    11     1181.039300       -1.199765
    12     1181.163900       -1.075165
    13     1185.389000        3.149935
    14     1181.750700       -0.488364
    15     1183.128600        0.889535
    16     1183.188100        0.949036
    17     1181.782000       -0.457065
    18     1180.833800       -1.405264
    19     1180.982800       -1.256265
    20     1182.153700       -0.085364
    21     1181.330700       -0.908365
    22     1184.755100        2.516036
    23     1181.285900       -0.953164
    24     1181.618300       -0.620764
    25     1181.334800       -0.904264
    26     1181.046700       -1.192364
    27     1182.085300       -0.153765
    28     1204.562600       22.323535
    29     1199.443800       17.204735
    30     1182.511600        0.272536
    31     1182.192500       -0.046564
    32     1181.070300       -1.168764
    33     1183.036400        0.797335
    34     1181.595900       -0.643165
    35     1180.325100       -1.913965
    36     1182.020800       -0.218265
    37     1181.317500       -0.921564
    38     1180.292100       -1.946965
    39     1180.073500       -2.165565
    40     1181.389100       -0.849964
    41     1182.094600       -0.144465
    42     1178.879600       -3.359465
    43     1182.047500       -0.191565
    44     1179.056100       -3.182965
    45     1180.797200       -1.441865
    46     1179.789800       -2.449265
    47     1182.449700        0.210635
    48     1181.628100       -0.610965
    49     1181.837300       -0.401765
    50     1181.723100       -0.515965
    51     1181.698200       -0.540864
    52     1181.757800       -0.481264
    53     1181.746800       -0.492265
    54     1180.372200       -1.866865
    55     1180.400200       -1.838864
    56     1185.931400        3.692335
    57     1182.005400       -0.233665
    58     1180.357600       -1.881464
    59     1182.552500        0.313435
    60     1181.127000       -1.112065
    61     1182.759800        0.520736
    62     1182.305100        0.066035
    63     1181.581100       -0.657964
    64     1183.578300        1.339235
    65     1182.172400       -0.066665
    66     1181.283400       -0.955665
    67     1179.410500       -2.828565
    68     1181.509900       -0.729165
    69     1182.159400       -0.079665
    70     1182.879600        0.640535
    71     1183.006900        0.767836
    72     1181.191500       -1.047565
    73     1183.352200        1.113135
    74     1182.750300        0.511235
    75     1182.593700        0.354635
    76     1180.912700       -1.326364
    77     1181.499700       -0.739364
    78     1179.369000       -2.870065
    79     1181.159100       -1.079964
    80     1180.550400       -1.688664
    81     1182.157400       -0.081664
    82     1183.091700        0.852635
    83     1188.654200        6.415135
    84     1182.687800        0.448735
    85     1181.897500       -0.341565
    86     1182.104400       -0.134665
    87     1182.006800       -0.232264
    88     1183.098800        0.859735
    89     1182.739000        0.499935
    90     1182.958400        0.719335
    91     1182.292700        0.053635
    92     1182.097000       -0.142065
    93     1181.726800       -0.512265
    94     1182.615300        0.376235
