Run,Elapsed,Dev. from mean,
1,1393.963800,-4.051898,
2,1393.522000,-4.493698,
3,1393.924900,-4.090798,
4,1393.700300,-4.315398,
5,1399.680500,1.664802,
6,1394.363700,-3.651998,
7,1397.013100,-1.002598,
8,1397.249500,-0.766198,
9,1394.506500,-3.509198,
10,1394.768600,-3.247098,
11,1394.377000,-3.638698,
12,1395.217300,-2.798398,
13,1393.841300,-4.174398,
14,1393.906200,-4.109498,
15,1397.075400,-0.940298,
16,1393.874400,-4.141298,
17,1395.983600,-2.032098,
18,1397.898000,-0.117698,
19,1396.970700,-1.044998,
20,1398.101100,0.085402,
21,1397.427200,-0.588498,
22,1398.437300,0.421602,
23,1397.959100,-0.056598,
24,1397.063400,-0.952298,
25,1397.282300,-0.733398,
26,1397.232600,-0.783098,
27,1396.871000,-1.144698,
28,1396.447000,-1.568698,
29,1399.511600,1.495902,
30,1396.477700,-1.537998,
31,1397.655300,-0.360398,
32,1398.058300,0.042602,
33,1398.040100,0.024402,
34,1397.145900,-0.869798,
35,1398.366300,0.350602,
36,1399.431600,1.415902,
37,1399.964000,1.948302,
38,1396.955400,-1.060298,
39,1397.124400,-0.891298,
40,1397.089900,-0.925798,
41,1396.676300,-1.339398,
42,1396.484300,-1.531398,
43,1400.527100,2.511402,
44,1398.463200,0.447502,
45,1397.264000,-0.751698,
46,1399.951700,1.936002,
47,1397.935200,-0.080498,
48,1399.233600,1.217902,
49,1396.905200,-1.110498,
50,1396.809300,-1.206398,
51,1397.267000,-0.748698,
52,1397.080400,-0.935298,
53,1397.602900,-0.412798,
54,1397.244400,-0.771298,
55,1398.838300,0.822602,
56,1397.608500,-0.407198,
57,1397.126200,-0.889498,
58,1397.578200,-0.437498,
59,1397.328400,-0.687298,
60,1397.142100,-0.873598,
61,1397.239400,-0.776298,
62,1397.068300,-0.947398,
63,1397.369700,-0.645998,
64,1401.590300,3.574602,
65,1398.014300,-0.001398,
66,1397.923700,-0.091998,
67,1397.797000,-0.218698,
68,1397.287800,-0.727898,
69,1397.052700,-0.962998,
70,1397.478200,-0.537498,
71,1397.030100,-0.985598,
72,1397.781600,-0.234098,
73,1399.645800,1.630102,
74,1396.766700,-1.248998,
75,1397.015900,-0.999798,
76,1396.759300,-1.256398,
77,1396.748200,-1.267498,
78,1396.977200,-1.038498,
79,1397.214200,-0.801498,
80,1398.074800,0.059102,
81,1397.430100,-0.585598,
82,1397.526800,-0.488898,
83,1396.901100,-1.114598,
84,1396.415900,-1.599798,
85,1396.226800,-1.788898,
86,1397.419300,-0.596398,
87,1399.241800,1.226102,
88,1397.169000,-0.846698,
89,1397.095100,-0.920598,
90,1398.402000,0.386302,
91,1396.888300,-1.127398,
92,1396.596800,-1.418898,
93,1396.463600,-1.552098,
94,1406.384100,8.368402,
95,1397.498000,-0.517698,
96,1396.862800,-1.152898,
97,1397.707900,-0.307798,
98,1398.137700,0.122002,
99,1400.611900,2.596202,
100,1396.860200,-1.155498,
101,1400.010300,1.994602,
102,1396.876500,-1.139198,
103,1398.504600,0.488902,
104,1397.511500,-0.504198,
105,1397.778500,-0.237198,
106,1397.916100,-0.099598,
107,1400.411200,2.395502,
108,1400.860100,2.844402,
109,1398.317800,0.302102,
110,1397.466200,-0.549498,
111,1397.970400,-0.045298,
112,1397.919700,-0.095998,
113,1398.089400,0.073702,
114,1398.343100,0.327402,
115,1397.537300,-0.478398,
116,1398.554500,0.538802,
117,1397.317300,-0.698398,
118,1397.872900,-0.142798,
