Run,Elapsed,Dev. from mean,
1,1382.656700,4.500937,
2,1373.979100,-4.176663,
3,1383.604000,5.448237,
4,1384.963500,6.807737,
5,1378.687800,0.532037,
6,1380.156700,2.000937,
7,1376.550600,-1.605163,
8,1373.437800,-4.717963,
9,1374.007500,-4.148263,
10,1377.005300,-1.150463,
11,1375.330500,-2.825263,
12,1379.932100,1.776337,
13,1384.111400,5.955637,
14,1372.347300,-5.808463,
15,1382.902200,4.746437,
16,1381.914000,3.758237,
17,1382.028400,3.872637,
18,1380.097100,1.941337,
19,1379.859400,1.703637,
20,1377.828600,-0.327163,
21,1382.070600,3.914837,
22,1373.699200,-4.456563,
23,1381.870700,3.714937,
24,1377.832200,-0.323563,
25,1377.596900,-0.558863,
26,1378.203500,0.047737,
27,1375.112300,-3.043463,
28,1377.883300,-0.272463,
29,1377.264600,-0.891163,
30,1374.185700,-3.970063,
31,1377.033200,-1.122563,
32,1375.344300,-2.811463,
33,1374.191100,-3.964663,
34,1376.046900,-2.108863,
35,1376.639800,-1.515963,
36,1375.605200,-2.550563,
37,1375.676300,-2.479463,
38,1374.717800,-3.437963,
39,1381.217500,3.061737,
40,1375.441500,-2.714263,
41,1377.263200,-0.892563,
42,1375.087500,-3.068263,
43,1374.578500,-3.577263,
44,1381.880800,3.725037,
45,1375.077100,-3.078663,
46,1376.514700,-1.641063,
47,1376.268100,-1.887663,
48,1386.408400,8.252637,
49,1398.290900,20.135137,
50,1379.245300,1.089537,
51,1372.360800,-5.794963,
52,1385.596300,7.440537,
53,1379.312700,1.156937,
54,1374.515100,-3.640663,
55,1375.343700,-2.812063,
56,1378.059600,-0.096163,
57,1383.344200,5.188437,
58,1374.868300,-3.287463,
59,1381.490400,3.334637,
60,1379.354200,1.198437,
61,1374.064200,-4.091563,
62,1375.741500,-2.414263,
63,1375.606300,-2.549463,
64,1381.016200,2.860437,
65,1375.645200,-2.510563,
66,1376.225300,-1.930463,
67,1379.778900,1.623137,
68,1381.083300,2.927537,
69,1379.915800,1.760037,
70,1375.342200,-2.813563,
71,1375.433400,-2.722363,
72,1384.949100,6.793337,
73,1377.237600,-0.918163,
74,1376.730400,-1.425363,
75,1373.701700,-4.454063,
76,1379.375900,1.220137,
77,1380.747600,2.591837,
78,1379.100100,0.944337,
79,1377.410900,-0.744863,
80,1372.662300,-5.493463,
81,1375.973600,-2.182163,
82,1374.116600,-4.039163,
83,1375.619100,-2.536663,
84,1376.242900,-1.912863,
85,1378.596800,0.441037,
86,1380.105400,1.949637,
87,1375.782200,-2.373563,
88,1376.068500,-2.087263,
89,1379.592900,1.437137,
90,1384.927700,6.771937,
91,1377.303500,-0.852263,
92,1379.935800,1.780037,
93,1378.767000,0.611237,
94,1380.861900,2.706137,
95,1374.041000,-4.114763,
96,1381.490800,3.335037,
97,1382.138900,3.983137,
98,1374.462500,-3.693263,
99,1378.181100,0.025337,
100,1375.707800,-2.447963,
